"","simul_idx","up_dw","low_dw","up_t_test","low_t_test","up_catoni","low_catoni","up_cheby","low_cheby"
"1",1,3.51798770986626,2.51376534988388,3.19989797383165,2.8258099966182,3.25964975060425,2.76714064027087,3.32908175124176,2.69662621920809
"2",2,3.51560700780001,2.48582640897095,3.16709826929317,2.73141872871197,3.2066080044638,2.71409889413042,3.26548626501941,2.63303073298573
"3",3,3.48764175892696,2.45082235118696,3.14061980527513,2.81150525370196,3.22170808285195,2.72919897251857,3.29229029550538,2.65983476347171
"4",4,3.69353986814522,2.68247200152414,3.42240204956837,3.05443255579798,3.4806978553891,2.98818874505572,3.55464506870001,2.92218953666634
"5",5,3.51632158048856,2.5573157796886,3.35030629858954,2.87897646764531,3.34873067694975,2.85622156661637,3.43086914913426,2.79841361710058
"6",6,3.44100433327912,2.44051122628924,3.04828384536885,2.40008118791134,3.03497584679386,2.54246673646048,3.04041028265693,2.40795475062326
"7",7,3.50959551844541,2.50308914039125,3.1628538722231,2.67345010756655,3.18613480611787,2.6936256957845,3.23437975591166,2.60192422387799
"8",8,3.54849692089717,2.55892529873671,3.18026876099356,2.77865528004925,3.23404724425615,2.74153813392277,3.29568978653825,2.66323425450457
"9",9,3.52266017974572,2.48344442128661,3.17494076365449,2.8259304223367,3.24697261600157,2.7544635056682,3.31666335901243,2.68420782697875
"10",10,3.36832034977222,2.34717171944844,3.10939693126498,2.65805945884992,3.12382917010447,2.63132005977109,3.19995596107428,2.56750042904061
"11",11,3.51600868900954,2.51203193332578,3.22006225653233,2.85295116000465,3.28141572108881,2.78890661075543,3.35273447428533,2.72027894225165
"12",12,3.45625106195773,2.44151593055876,3.35666510730068,2.7410789832515,3.24708131157526,2.75457220124188,3.36509981129293,2.73264427925925
"13",13,3.49772751534146,2.5248144905041,3.18303792840241,2.78107201953265,3.23168568361358,2.73917657328021,3.29828273998437,2.66582720795069
"14",14,3.49033146941355,2.4917741970124,3.20172540194462,2.73971222908396,3.21515257000011,2.72264345966673,3.28694658153113,2.65449104949745
"15",15,3.48934655470061,2.45899945987281,3.17192001645036,2.7778587855171,3.22116842001114,2.72865930967777,3.29111716700057,2.6586616349669
"16",16,3.60101770559166,2.58983261646482,3.29717181766585,2.90582613987765,3.34694961457055,2.85444050423718,3.41772674478859,2.78527121275491
"17",17,3.50580186835425,2.46768705896839,3.16810790292426,2.82316984533646,3.24107769849483,2.74856858816145,3.3118666401472,2.67941110811352
"18",18,3.32920572959773,2.31057601688067,2.93399950666815,2.55555508169925,2.99812592541876,2.50561681508538,3.06100506020054,2.42854952816686
"19",19,3.46388091131786,2.44178525055378,3.1210139335958,2.76223296472358,3.18871594495378,2.6962068346204,3.25785121517653,2.62539568314285
"20",20,3.39186995656424,2.39580398220449,3.11018089079566,2.59935548635205,3.12351251333439,2.63100340300102,3.17099595459069,2.53854042255702
"21",21,3.33766249096855,2.37523139677031,3.0494520781288,2.63541505082726,3.09119091431509,2.59868180398171,3.15866133049486,2.52620579846119
"22",22,3.56869484275571,2.57128101141215,3.33170353689431,2.90986020388622,3.35762922228312,2.86512011194974,3.4370096364071,2.80455410437343
"23",23,3.47412667763833,2.47219818559181,3.30817763779416,2.70847038627031,3.25311623136645,2.76060712103307,3.32455177804907,2.6920962460154
"24",24,3.44853265467862,2.41552982954502,3.05998930624474,2.61174477145855,3.10135207539648,2.6088429650631,3.15209480486848,2.5196392728348
"25",25,3.41862758532342,2.41848679748842,3.08304963139689,2.76002073689941,3.16891497664036,2.67640586630698,3.23776295016498,2.60530741813131
"26",26,3.33238990641867,2.36122576462786,3.01394588245848,2.70786840340839,3.10766563657231,2.61515652623894,3.17713490895027,2.5446793769166
"27",27,3.51233494704423,2.48957713562371,3.56725572351792,2.79027294933106,3.33741622897829,2.84490711864491,3.49499210244133,2.86253657040765
"28",28,3.43673149376669,2.41103647993077,3.14166701758246,2.68340572804683,3.16580846112443,2.67329935079105,3.22876413883148,2.59630860679781
"29",29,3.40127418508212,2.37998113021538,3.18477609982261,2.69640573001008,3.17116379386117,2.67865468352779,3.25681868093319,2.62436314889951
"30",30,3.63661793800744,2.60322148068544,3.39016902977511,2.9635065815538,3.41104555492655,2.91853644459317,3.49306557168129,2.86061003964762
"31",31,3.48121834647579,2.4907999522472,3.21298556868981,2.73017030525528,3.22206246616011,2.72955335582673,3.28780570298938,2.65535017095571
"32",32,3.62385990280753,2.59398026570734,3.36193718811138,2.84404210336163,3.3587486543717,2.86623954403832,3.41921741175334,2.78676187971967
"33",33,3.45524399390962,2.54848364170016,3.23243976077333,2.73674545057765,3.23116984543725,2.73866073510387,3.30082037169233,2.66836483965865
"34",34,3.41614686639585,2.44587480320411,3.15497427634958,2.56647618770792,3.13143682718882,2.63892771685544,3.17695299804559,2.54449746601191
"35",35,3.54391883455769,2.5209873854465,3.22071630401141,2.82695870885089,3.27273985313346,2.78023074280008,3.34006527244799,2.70760974041431
"36",36,3.75834093437802,2.73825912184351,3.5127726006006,3.10564254597227,3.54725390318207,3.05474479284869,3.62543533930327,2.9929798072696
"37",37,3.49233687882635,2.48413865694822,3.17583849719285,2.80462796046838,3.2352677348744,2.74275862454103,3.30646099484745,2.67400546281378
"38",38,3.55501529210312,2.55341395609563,3.18531239359291,2.82811580119483,3.25934080382487,2.7668316934915,3.32294186341071,2.69048633137703
"39",39,3.56158442935953,2.51384127712801,3.17425505780119,2.78035326698067,3.23405103527552,2.74154192494214,3.29353192840777,2.66107639637409
"40",40,3.6098069667425,2.64567894503053,3.44223592567487,2.97841424294821,3.44558539487882,2.95307628454545,3.52655285032838,2.89409731829471
"41",41,3.41739606656604,2.38244256927307,3.06796702214086,2.73537372300256,3.14769078916339,2.65518167883001,3.21789813858855,2.58544260655487
"42",42,3.4747721802837,2.52696386873926,3.25881696447061,2.77200937400107,3.25479806903205,2.76228895869867,3.33164093525268,2.699185403219
"43",43,3.37802208763511,2.37364834972281,3.06244187505607,2.48926542079415,3.05347659940896,2.56096748907558,3.09208141394195,2.45962588190827
"44",44,3.61830386590708,2.58624431464433,3.28024318685785,2.82770319414015,3.30085872592274,2.80834961558936,3.37020095651584,2.73774542448216
"45",45,3.42000395262519,2.40298010491521,3.08748386104794,2.70987248054427,3.14543107706279,2.65292196672941,3.21490593681294,2.58245040477927
"46",46,3.24913840702577,2.2515977988254,2.89253564595749,2.54775747908625,2.96972168156236,2.47721257122899,3.03637432853871,2.40391879650504
"47",47,3.72214241195225,2.74360003777895,3.52422491689583,3.09826286884696,3.54829933423835,3.05579022390497,3.62747165888823,2.99501612685456
"48",48,3.46327667985183,2.48690452435132,3.29654122011909,2.62425129845335,3.20417249079168,2.7116633804583,3.27662402530306,2.64416849326938
"49",49,3.42868916450851,2.41370359937418,3.0721571336617,2.68743299596806,3.13035137147032,2.63784226113695,3.19602283083172,2.56356729879804
