"","simul_idx","up_dw","low_dw","up_dw_x1_to_xn","low_dw_x1_to_xn","up_dw_x1_to_xn_tails","low_dw_x1_to_xn_tails","up_t_test","low_t_test","up_anderson","low_anderson","up_cheby","low_cheby","up_emp_bern","low_emp_bern","up_hoeffding","low_hoeffding","up_PI_emp_bern","low_PI_emp_bern","up_PI_hedged","low_PI_hedged"
"1",1,0.838343448908025,0.488643092427118,0.838327375216666,0.488671707441486,0.934671956572281,0.488671707441486,0.790346512581673,0.567916311516822,0.85199858372311,0.48622361542818,0.88626831266043,0.245617374088316,1.03497344390816,0.323289380190338,0.852213250309476,0.506049573789019,0.88844636346263,0.476148313665333,0.81,0.51
"2",2,0.738766969282215,0.369894646469895,0.738737718512932,0.369910884408887,0.835063852462281,0.369910884408887,0.678328462487141,0.441353574966473,0.732822047690693,0.366915646980163,0.817441346663382,0.115627017881296,0.92746507331381,0.192216964139804,0.732922856987035,0.386759180466578,0.772567911305289,0.336044987404668,0.72,0.39
"3",3,0.649495045517375,0.279507480441553,0.649480158833482,0.279581685435068,0.745892689752415,0.279581685435068,0.579698427310082,0.342020943652063,0.633749946844324,0.267905592592718,0.754411488666706,0.0136879871350816,0.829052882873875,0.09266648808827,0.633941523741301,0.287777847220844,0.673473894524249,0.239138346306067,0.62,0.3
"4",4,0.703313853094535,0.332526208213985,0.703284951246287,0.332569687632242,0.799651687245797,0.332569687632242,0.638910975728293,0.400636418811723,0.692714291492732,0.326868363478461,0.792510567149051,0.0737789283009625,0.888450557939015,0.151096836601002,0.692855535530236,0.34669185900978,0.733386052955747,0.295902549266927,0.68,0.36
"5",5,0.756211388893335,0.389250350657029,0.756181125839352,0.389272442565925,0.852515984835436,0.389272442565925,0.697699803548279,0.462365875797539,0.752963781822853,0.387110396660746,0.829683025687605,0.137038373767244,0.946327623576498,0.213738055769321,0.753114677933138,0.406951001412681,0.801003889062236,0.36736019014776,0.73,0.41
"6",6,0.611252936931342,0.244194075091295,0.611216121225301,0.244217529567113,0.707553011058623,0.244217529567113,0.538233363623645,0.302699812887567,0.593409128006447,0.227524523217916,0.727366543224079,-0.0265888961314023,0.786923078123599,0.0540100983876131,0.593548426515835,0.247384749995378,0.632176067083491,0.200459948645832,0.59,0.27
"7",7,0.667330952156961,0.296641705085514,0.66726526043976,0.296671046033309,0.763610923762515,0.296671046033309,0.599236990213785,0.361008241202935,0.65304209645079,0.287253206649192,0.76704947272615,0.0331548867877834,0.848762369370079,0.111482862046641,0.653204453968588,0.307040777448131,0.694465667120588,0.256317948319735,0.65,0.32
"8",8,0.572151592931864,0.210225979871773,0.572128308496725,0.210231121311418,0.66843790367376,0.210231121311418,0.496271356494765,0.264678808062269,0.553480844073607,0.187544433001814,0.699895341704833,-0.0657702045739711,0.743739136279754,0.0172110282772805,0.553556920538746,0.207393244018289,0.599899922619177,0.173281496822173,0.55,0.23
"9",9,0.703615863437649,0.332829106179024,0.703594504160251,0.332854204496529,0.799933844056655,0.332854204496529,0.639270447618314,0.400946505184971,0.693034215109819,0.327178835851133,0.792722270080158,0.0741251905892462,0.888825342146237,0.151391610657048,0.693190314661871,0.347026638141414,0.743723663832727,0.305976940307371,0.68,0.35
"10",10,0.649472791267631,0.279386133817807,0.649454275999366,0.279420709605251,0.745807741586453,0.279420709605251,0.579662639854514,0.341904732311308,0.633714200233182,0.267806585312896,0.754361289221744,0.0136115209164417,0.829042031393892,0.09252534077193,0.63386552434314,0.287701847822683,0.673624549695195,0.238839962221929,0.63,0.3
"11",11,0.685477423568625,0.314331118112607,0.685441900985327,0.314345259365696,0.781764909930144,0.314345259365696,0.619201975628326,0.380586497729459,0.672875754628826,0.306960805144958,0.779840326301277,0.0533167348302114,0.868847262721015,0.130941210636771,0.672976074939121,0.326812398418664,0.724226223756934,0.285442587549351,0.66,0.33
"12",12,0.685812631504576,0.314789064914598,0.685790609265133,0.314843820583084,0.782174151946577,0.314843820583084,0.619583537160894,0.381080137890716,0.67322955629025,0.307378858979835,0.780121309345349,0.0537650865309924,0.869194073508301,0.131469601543309,0.673413675786034,0.327249999265577,0.723453143469261,0.287096114368535,0.67,0.34
"13",13,0.738603652364248,0.369743649479657,0.738554217003158,0.369765695381028,0.834889007427349,0.369765695381028,0.678147176658915,0.441192101039213,0.732659929885425,0.366744074096586,0.817336497409584,0.115446234005524,0.927277644670205,0.192061633027923,0.732751477109293,0.386587800588836,0.780788073622421,0.347204355955381,0.72,0.39
"14",14,0.720790273440066,0.350843780020067,0.720737060185167,0.350863124311206,0.817067823995637,0.350863124311206,0.658293136327571,0.420674119503722,0.712448943820535,0.346657402581668,0.804878126989633,0.094261252869778,0.907629463849602,0.171337791981691,0.712565466175875,0.366401789655418,0.752736357405062,0.315560762479323,0.7,0.38
"15",15,0.611101382135093,0.244189958113124,0.611049349798963,0.244230688749356,0.707411988877577,0.244230688749356,0.53805486438657,0.30270122707282,0.59330737990953,0.227511083803062,0.727306472336675,-0.0266763961205164,0.786688795499585,0.0540672959598059,0.593459883989924,0.247296207469467,0.642830916121082,0.209352655769416,0.59,0.27
"16",16,0.721201889110896,0.351101479233685,0.721171770072941,0.35112295556141,0.817505711576354,0.35112295556141,0.658767340152325,0.420955829729286,0.7127908914303,0.346894006941942,0.805113349839701,0.0946559583949748,0.908163351631161,0.17155981825045,0.712943423201034,0.366779746680577,0.753358950880837,0.315697201807096,0.7,0.37
"17",17,0.667319488006153,0.296595206949895,0.66731812936718,0.296622279493071,0.76366041174732,0.296622279493071,0.599163181479645,0.36101023158065,0.653016329900123,0.287208020988233,0.767026073723887,0.033118437159692,0.848665058602952,0.111508354457342,0.653168544790376,0.307004868269919,0.703484597395996,0.266947396123395,0.65,0.32
