"","simul_idx","up_dw","low_dw","up_t_test","low_t_test","up_catoni","low_catoni","up_cheby","low_cheby"
"1",1,4.38492820934546,2.39025861523867,3.9330799620946,3.00354903311151,4.01406345103919,2.88505328812732,4.1754212787896,2.76120771641651
"2",2,3.22924970736025,1.81768845083816,4.268626160933,-1.8446207894315,3.0641765868149,1.93516642390303,1.9191094669373,0.504895904564207
"3",3,4.14789542129571,2.39658910339321,3.67386340459994,3.05414306223079,3.93204604216038,2.80303587924851,4.07111001460191,2.65689645222882
"4",4,4.01998091979141,1.98629895300785,3.44970189483165,2.65936882401701,3.61183603592022,2.48282587300835,3.76164214061087,2.34742857823778
"5",5,3.83914236152285,1.85543061138669,4.31161503475157,2.29043339728027,3.61252826296407,2.4835181000522,4.00813099720247,2.59391743482938
"6",6,3.88347986415603,1.85197785349636,3.34287776677101,2.14244939636088,3.35941546464192,2.23040530173005,3.44977036275249,2.0355568003794
"7",7,4.25801095443244,2.20992836829837,3.66784653240182,2.8858266001438,3.83503152895834,2.70602136604647,3.98394334745936,2.56972978508626
"8",8,3.99626380304608,2.07440704813866,3.3967908038495,2.74252963649948,3.63360979440651,2.50459963149464,3.77676700136103,2.36255343898794
"9",9,3.93608262546601,1.92944248499348,3.33583076018452,2.0697707985163,3.35698020039407,2.2279700374822,3.40990756053696,1.99569399816387
"10",10,4.3034927302299,2.26478450852674,3.69115991953502,2.85815387006734,3.83931959518382,2.71030943227195,3.98176367598773,2.56755011361463
"11",11,4.0257265509562,1.98916839093395,3.74952027800193,2.24581290342586,3.5902619735067,2.46125181059483,3.70477337190044,2.29055980952735
"12",12,4.04792639448226,2.08245295843632,3.39246537503384,2.52900828895659,3.55415408335588,2.42514392044401,3.66784361318176,2.25363005080867
"13",13,4.20884008375399,2.19133571323871,3.53266209470644,2.78516982721779,3.72929142319606,2.6002812602842,3.86602274214866,2.45180917977556
"14",14,4.02668262211099,2.13820140209517,3.56962417073586,2.09012853874063,3.54236898251458,2.41335881960271,3.53698313592479,2.1227695735517
"15",15,3.77634267045976,1.76767742066168,3.45017409566133,2.41406506422792,3.44626669077181,2.31725652785994,3.63922636113117,2.22501279875808
"16",16,3.91431023876177,1.88196889307858,3.21710829769703,2.39183515237124,3.38470706728492,2.25569690437305,3.51157850622068,2.09736494384759
"17",17,4.01405723289884,2.15081753560475,3.38034830481937,2.71293478867299,3.60603513606033,2.47702497314846,3.75374832793273,2.33953476555963
